GTIN,상품명(국문),카테고리,보정이미지 1000 JPG,썸네일 250 PNG,원재료 전체텍스트
4001686372975,하리보 메가룰렛 사우어,간식,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F2c50c309-cc16-41c9-945d-4a353354aa87%2F2c50c309-cc16-41c9-945d-4a353354aa87_front_angle_1000.jpg?alt=media&token=2e531e62-ed14-49ea-a37e-df8e1db01ef8,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F2c50c309-cc16-41c9-945d-4a353354aa87%2F2c50c309-cc16-41c9-945d-4a353354aa87_front_angle_250.png?alt=media&token=b4757537-ffcc-454c-85fa-20eee0a3da87,"포도당시럽, 설탕, 젤라틴(돼지) L-주석산, 구연산, DL-사과산, 덱스트로스, 과채농축물(사과,무,레몬,고구마,당근,블랙커런트,히비스커스),홍화황색소,스피룰리나색소,천연향료,합성향료,흑당근추출색소,밀납,카나우바왁스,전화당시럽"
4549660884804,초코비,과자,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb876dc0c-fc5b-4f11-90cb-3d540dc30dfa%2Fb876dc0c-fc5b-4f11-90cb-3d540dc30dfa_front_angle_1000.jpg?alt=media&token=fddf84bd-011b-44c1-b71a-fe1c48e47b5e,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb876dc0c-fc5b-4f11-90cb-3d540dc30dfa%2Fb876dc0c-fc5b-4f11-90cb-3d540dc30dfa_front_angle_250.png?alt=media&token=bac2d5b5-97d8-43f5-aa48-56d31e1c142e,"설탕, 옥수수그릿츠, 식물성유지(팜유코코넛유, 미강유, d-a-토코페롤), 마아가린, 연유, 코코아분말, 카라멜소스, 정제소금, 초콜릿, 우유, 패각칼슘, 칼라멜색소, 합성향료(초콜릿향, 우유향, 버터향, 바닐라향), 글리세린지방산에스테르, 자당지방산에스테르, 트레할로스"
8691216099074,하리보 믹스 사우어,간식,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3019f978-1432-4c22-79bb-ac1049a1b83e%2F3019f978-1432-4c22-79bb-ac1049a1b83e_front_angle_1000.jpg?alt=media&token=5718ced2-8700-49c4-98a4-5ccc6ec89556,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3019f978-1432-4c22-79bb-ac1049a1b83e%2F3019f978-1432-4c22-79bb-ac1049a1b83e_front_angle_250.png?alt=media&token=4241a976-db7f-4166-9eec-f72364632c16,"포도당시럽, 설탕, 정제수, 젤라틴(우피), 덱스트로스, 구연산, DL-사과산, 나트륨, 과채농축물(고구마, 무, 사과, 엘더베리, 오렌지, 블랙커런트, 키위, 레몬, 아로니아, 망고, 패션프루트, 적포도, 당근, 빌베리), 홍화황색소, 스피룰리나색소, 천연향료, 합성향료, 카라멜시럽, 카나우바왁스, 엘더베리추출물"
8801019206818,자유시간,간식,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F511b183c-dbdc-464c-be3b-2481084fe3f3%2F511b183c-dbdc-464c-be3b-2481084fe3f3_front_angle_1000.jpg?alt=media&token=d279df0a-683e-4ed0-a3c2-baea5db2696e,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F511b183c-dbdc-464c-be3b-2481084fe3f3%2F511b183c-dbdc-464c-be3b-2481084fe3f3_front_angle_250.png?alt=media&token=77ac7f0b-aefe-478a-a99a-cf25507e5e3e,"물엿,밀크초콜릿(싱가포르산;설탕,코코아버터,전지분유,코코아매스,유화제),견과류가공품{땅콩(중국산),설탕,물엿,식물성유지(말레이시아산),유화제},설탕,식물성크림[땅콩분말(아르헨티나산),애자경화유{외국산(말레이시아,인도네시아,필리핀 등)}],밀키페이스트,유당,야자경화유,기타과당,당시럽류,가공유크림,혼합분유,난백분,전분가공품,정제소금,기타설탕,유화제,합성향료(연유햔,버터향),구연산"
8801019208812,자유시간 쿠키앤크림,간식,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F7f28ce74-54ce-4a85-a13f-24b4e686ed6d%2F7f28ce74-54ce-4a85-a13f-24b4e686ed6d_front_angle_1000.jpg?alt=media&token=078dabde-399c-4701-b2c7-eb7b235c406a,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F7f28ce74-54ce-4a85-a13f-24b4e686ed6d%2F7f28ce74-54ce-4a85-a13f-24b4e686ed6d_front_angle_250.png?alt=media&token=4fdfc801-d0c2-49f1-93f6-6be67d13ba55,"설탕, 물엿, 쿠키칩[밀가루1(밀:미국산, 호주산), 기타설탕, 쇼트닝1{팜유(말레이시아산)}, 쇼트닝2, 밀가루2], 유당(미국산), 가공유지{식물성유지1(말레이시아산), 식물성유지2(말레이시아산), 유화제1, 유화제2}, 야자경화유, 분말유크림, 혼합분유, 기타코코아가공품, 당시럽류, 코코아분말, 전분가공품, 기타설탕, 난백분, 정제소금, 코코아매스, 크림익스트랙트, 향료제제(가공유지, 팜유, 향료10종, 버터, 버터유), 유화제, 바닐린, 향료, 구연산"
8801019306495,홈런볼 초코,과자,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Febbcd181-c51b-451f-8db4-ed47e92ee5fb%2Febbcd181-c51b-451f-8db4-ed47e92ee5fb_front_angle_1000.jpg?alt=media&token=98b7d8ea-cd0d-4304-ad2c-968b3ec06e4d,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Febbcd181-c51b-451f-8db4-ed47e92ee5fb%2Febbcd181-c51b-451f-8db4-ed47e92ee5fb_front_angle_250.png?alt=media&token=e3a766bb-04ee-4831-b82a-5f37298db091,"홈런볼초코 [ 백설탕 , 식물성유지 ( 채종유 호주산 , 팜경화유 말레이시아산 ), 혼합분유 ( 수입산 ), 코코아분말 , 땅콩버터 ],전란액 ( 국산 ),마가린 [ 팜유 ( 말레이시아산 ), 정제수 , 우지 ( 호주산 ), 고올레산해바라기유 , 팜스테아린유 , 유화제 ],밀가루,난백액,찰옥수수전분,기타가공품,정제소금,유화제,산도조절제,합성착향료 ( 바닐라향 ),비타민 B2"
8801019308246,초코픽,간식,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F35edcfc4-c6bd-49f6-85c0-b4dbb8bd9776%2F35edcfc4-c6bd-49f6-85c0-b4dbb8bd9776_front_angle_1000.jpg?alt=media&token=22bf5eb7-c7c2-49b1-bf5f-c4c986212844,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F35edcfc4-c6bd-49f6-85c0-b4dbb8bd9776%2F35edcfc4-c6bd-49f6-85c0-b4dbb8bd9776_front_angle_250.png?alt=media&token=19c528e9-a14c-4346-85f5-afe6ef30c917,"밀가루{밀(미국산)}, 준초콜릿{설탕, 식물성유지1(태국산),혼합분유(네덜란드산), 코코아분말, 식물성유지2}, 캔디류{기타설탕, 포도당, 아라비아검, 합성향료(딸기향), 혼합제제1, 혼합제제2, 치자황생소}, 설탕, 혼합식용유{팜올레인유(말레이시아산), 팜유(말레이시아산), 올레오레진로즈메리}, 곡류가공품, 쇼트닝, 가공버터(경화유), 밀키페이스트, 볶음참깨, 가공치즈, 정제소금, 가공탈지분, 합성향료(밀크향), 산도조절제, 카로틴, 비타민B2, 혼합제제3(효모추출물, 프로테아제, 순무씨유, 덱스트린), 효소제"
8801019606540,허니버터칩,과자,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fab0f696c-fb69-4062-cb20-225136ed709e%2Fab0f696c-fb69-4062-cb20-225136ed709e_front_angle_1000.jpg?alt=media&token=f864cc98-afd3-4941-9a7c-ce50f24eb72c,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fab0f696c-fb69-4062-cb20-225136ed709e%2Fab0f696c-fb69-4062-cb20-225136ed709e_front_angle_250.png?alt=media&token=921520cb-4208-4951-8ce8-389fda1b6106,"감자(국내산), 혼합식용유[팜올레인유(말레이시아산), 옥배유{옥수수(외국산(러시아, 헝가리, 세르비아 등))}, 토코페롤(혼합형)], 복합조미식품[허니버터맛시즈닝{정제소금(국내산), 탈지분유(미국산), 버터혼합분말(가공버터(호주산)), 아카시아꿀분말(아카시아벌꿀(국내산)), 고메버터(프랑스산)}]"
8801037001716,T.O.P 스모키 라떼,음료,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fc1ba9c4c-dca3-47ec-8cbc-7f44031f3518%2Fc1ba9c4c-dca3-47ec-8cbc-7f44031f3518_front_angle_1000.jpg?alt=media&token=44c77ee8-892a-4444-8d05-d0d5f269a185,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fc1ba9c4c-dca3-47ec-8cbc-7f44031f3518%2Fc1ba9c4c-dca3-47ec-8cbc-7f44031f3518_front_angle_250.png?alt=media&token=e218439e-0399-4316-9659-486782c97f20,"정제수, 맥심 에스프레소S 커피추출액(고형분5.0% 이상, 커피원두:콜롬비아산60%, 브라질산21%) 16%, 우유(국내산) 15%, 설탕, 유크림(국내산), 혼합분유(독일산)[탈지분유, 농축우유단백분말], 탄산칼륨, 유화제, 합성향료(커피향), 비타민C"
8801037001730,T.O.P 스모키 블랙,음료,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F89026637-9b49-4497-6dd6-e18a26268416%2F89026637-9b49-4497-6dd6-e18a26268416_front_angle_1000.jpg?alt=media&token=d99203e6-e473-46df-b159-0a57574ada5b,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F89026637-9b49-4497-6dd6-e18a26268416%2F89026637-9b49-4497-6dd6-e18a26268416_front_angle_250.png?alt=media&token=18c8001b-df7a-4e9f-b7e8-8cc2ff7d9faf,"정제수, 맥심 에스프레소S 커피추출액(고형분 5.0%이상, 커피원두: 콜롬비아산 60%, 브라질산 30%) 12.6%, 탄산칼륨, 향료(커피향)"
